"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"2022","3","A","골목상권","2110100","옥수동우편취급국","74","743","893","357","551","278","15","24","40","29","69","128","2517","127","1350141332"
"2022","3","A","골목상권","2110101","옥정중학교","89","831","1273","828","421","406","15","24","40","29","69","128","3454","128","1275503812"
"2022","3","A","골목상권","2110102","옥수역 6번","83","1559","2906","920","313","0","3","73","74","25","96","151","5276","83","848188629"
"2022","3","A","골목상권","2110103","옥수터널","76","1637","2555","545","72","0","3","130","120","28","49","128","4351","68","674404871"
"2022","3","A","골목상권","2110104","신금호역 4번","265","3117","2250","726","2","2","54","477","613","234","130","445","4144","60","359986865"
"2022","3","A","골목상권","2110105","금동어린이공원","291","2589","1926","695","30","0","54","536","599","336","81","202","3432","59","367961740"
"2022","3","A","골목상권","2110106","금북초등학교","119","1843","2126","351","0","0","64","315","31","37","162","692","3019","60","407627627"
"2022","3","A","골목상권","2110107","금호사거리","163","1878","1033","404","28","0","30","347","321","141","46","82","2376","59","439365644"
"2022","3","A","골목상권","2110108","성동구립금호도서관","139","2865","2605","702","0","0","64","326","46","40","96","1050","4550","61","454679149"
"2022","3","A","골목상권","2110109","금호삼성래미안아파트","134","2532","2154","891","28","0","3","155","231","121","169","895","4031","66","546458433"
"2022","3","A","골목상권","2110110","상왕십리역 6번","79","2600","2059","424","0","2","173","325","550","344","160","829","2704","62","499101307"
"2022","3","A","골목상권","2110111","대현산장미원","229","2823","1823","937","0","0","450","642","7","25","345","1499","2615","55","244210937"
"2022","3","A","골목상권","2110112","행당역 2번","116","1078","1654","1029","10","1","26","243","207","88","77","490","2641","70","442402418"
"2022","3","A","골목상권","2110113","응봉산","97","1067","1439","819","0","0","86","110","23","71","141","657","2237","67","453585795"
"2022","3","A","골목상권","2110114","왕십리파출소","74","996","1934","623","136","0","137","235","323","71","85","263","2575","63","506148268"
"2022","3","A","골목상권","2110115","상왕십리역 3번","92","1576","1893","479","100","0","264","612","464","84","87","475","2062","56","416707647"
"2022","3","A","골목상권","2110116","청계천박물관","76","879","1020","478","0","0","53","254","433","99","86","183","1269","56","307008622"
"2022","3","A","골목상권","2110117","성동구보건소","59","1126","827","243","0","0","127","440","371","65","214","572","407","51","278404200"
"2022","3","A","골목상권","2110118","왕십리역 9번","160","1537","1937","609","13","0","41","169","188","189","95","215","3199","60","459846472"
"2022","3","A","골목상권","2110119","마장지하차도","43","1438","747","46","70","0","52","322","485","141","346","754","201","55","311437653"
"2022","3","A","골목상권","2110120","서울숲카페거리","28","206","271","24","124","354","8","48","56","16","43","94","714","72","812715388"
"2022","3","A","골목상권","2110121","한양대역 4번","24","300","787","255","30","0","91","59","13","4","2","0","1203","56","465322052"
"2022","3","A","골목상권","2110122","마장역 2번","84","1967","1822","45","243","46","65","181","543","311","538","1295","1190","66","371996475"
"2022","3","A","골목상권","2110123","마장역 3번","150","2334","1631","134","78","46","322","842","656","456","459","865","623","53","267183074"
"2022","3","A","골목상권","2110124","뚝섬역교차로","54","1067","829","72","0","0","58","123","78","25","135","227","1322","54","436833099"
"2022","3","A","골목상권","2110125","사근동살곶이상점가","101","1440","748","21","1","0","487","645","129","367","290","216","76","43","158556777"
"2022","3","A","골목상권","2110126","서울숲역 1번","40","612","649","8","124","239","14","29","109","80","118","84","1198","60","673439243"
"2022","3","A","골목상권","2110127","성수1가1동주민센터","58","608","827","135","133","5","1","74","63","102","89","28","1351","64","586775394"
"2022","3","A","골목상권","2110128","성원중학교","143","1647","2413","145","340","9","10","72","40","122","158","230","3922","61","758924908"
"2022","3","A","골목상권","2110129","성원어린이공원","73","1395","1275","50","0","1","67","264","157","17","127","471","1618","52","391691090"
"2022","3","A","골목상권","2110130","답십리역 6번","75","1336","643","46","22","0","314","737","228","446","231","78","13","56","242574822"
"2022","3","A","골목상권","2110131","성수동카페거리","64","929","828","138","132","5","36","162","64","196","202","276","1096","59","438688899"
"2022","3","A","골목상권","2110132","성수2가3동주민센터","71","743","730","645","0","1","25","298","174","34","76","268","1244","55","400729923"
"2022","3","A","골목상권","2110133","서울교통공사","57","1236","354","87","0","0","486","353","244","248","82","150","114","54","229471688"
"2022","3","A","골목상권","2110134","성수119안전센터","114","1460","1008","84","83","1","17","113","160","458","169","176","1543","57","526329993"
"2022","3","A","골목상권","2110135","성동세무서","101","1106","611","331","1","1","115","551","317","58","146","275","588","45","260282384"
"2022","3","A","골목상권","2110136","경수초등학교","134","1660","662","66","24","0","203","416","297","548","146","170","632","49","341830131"
"2022","3","A","골목상권","2110137","성수초등학교","168","1731","1050","849","1","0","407","743","397","135","326","222","1401","47","269704510"
"2022","3","A","골목상권","2110138","송정체육공원","138","1390","542","50","17","0","226","661","533","126","142","282","29","47","212649082"
"2022","3","A","골목상권","2110139","자양4동주민센터","121","1129","1967","319","206","57","43","270","263","294","95","132","2581","59","451281545"
"2022","3","A","골목상권","2110140","건대입구역 6번","162","1894","1165","357","356","11","259","602","487","405","81","248","1701","47","278334249"
"2022","3","A","골목상권","2110141","건대입구역 1번","126","1303","430","3","0","0","393","543","306","133","220","53","88","41","179958475"
"2022","3","A","골목상권","2110142","화양사거리","230","3363","546","153","48","3","1028","1755","490","207","284","106","243","37","176858109"
"2022","3","A","골목상권","2110143","뚝섬유원지역 1번","65","911","2397","434","147","57","3","66","66","53","92","422","3244","77","633060358"
"2022","3","A","골목상권","2110144","어린이대공원역 4번","171","2862","260","138","47","3","790","1746","411","76","79","53","155","37","173208847"
"2022","3","A","골목상권","2110145","장안초등학교","59","1553","376","156","62","3","346","909","183","135","229","183","165","48","237487874"
"2022","3","A","골목상권","2110146","신자초등학교","211","2349","2689","507","162","61","57","468","590","215","202","722","3514","61","394282228"
"2022","3","A","골목상권","2110147","능동우편취급국","262","2359","935","91","20","3","314","1125","870","237","428","391","43","51","195450698"
"2022","3","A","골목상권","2110148","어린이대공원역 3번","69","1415","65","29","1","0","496","879","84","51","0","0","0","32","133163497"
"2022","3","A","골목상권","2110149","세종대학교","121","1099","405","27","0","4","162","473","474","93","188","131","14","49","199942073"
"2022","3","A","골목상권","2110150","중곡1동 마을마당","285","2033","543","27","20","0","201","1396","826","185","15","0","0","51","187641101"
"2022","3","A","골목상권","2110151","자양한강도서관","350","3359","1109","126","37","4","119","1138","1261","246","260","700","911","51","246929105"
"2022","3","A","골목상권","2110152","중곡어린이공원","154","1491","170","20","18","0","94","740","799","51","15","0","0","48","186127638"
"2022","3","A","골목상권","2110153","중곡1동주민센터","313","2161","572","20","20","0","304","1461","815","174","19","0","0","50","185139011"
"2022","3","A","골목상권","2110154","광진정말공원","510","4398","1264","42","29","3","210","1824","1869","340","143","466","884","48","222743627"
"2022","3","A","골목상권","2110155","광진구청","321","2664","1006","110","62","38","190","1384","1216","243","229","94","524","50","216022618"
"2022","3","A","골목상권","2110156","군자역 5번","254","2003","467","20","5","5","316","1102","859","199","14","6","4","47","196784207"
"2022","3","A","골목상권","2110157","자양동우체국","400","3323","1570","173","50","20","130","1318","1528","236","336","542","1046","51","230814979"
"2022","3","A","골목상권","2110158","중곡3동주민센터","309","3106","665","106","18","1","242","1629","1174","403","376","72","0","48","180582233"
"2022","3","A","골목상권","2110159","구의역 4번","547","4814","1608","88","29","3","234","2103","2141","354","192","307","1211","48","224301577"
"2022","3","A","골목상권","2110160","광진경찰서","196","1458","300","46","6","6","138","917","635","66","55","2","3","51","191735420"
"2022","3","A","골목상권","2110161","중곡역 3번","470","3650","993","101","18","1","341","2618","1181","269","149","52","153","50","178985528"
"2022","3","A","골목상권","2110162","군자역 4번","406","2943","752","26","6","1","362","1856","1272","225","9","4","0","51","188472200"
"2022","3","A","골목상권","2110163","성자초등학교","310","2394","1645","84","50","20","89","1085","1119","222","253","442","983","52","241098520"
"2022","3","A","골목상권","2110164","아차산역 5번","240","1935","389","24","6","1","231","1052","867","185","14","5","1","49","198791142"
"2022","3","A","골목상권","2110165","국립정신건강센터","448","3391","683","43","1","0","357","2311","1247","167","36","0","0","50","180009497"
"2022","3","A","골목상권","2110166","구의1동주민센터","453","3369","1064","99","8","6","390","2205","1155","164","191","85","356","49","189140214"
"2022","3","A","골목상권","2110167","용마초등학교","578","4249","919","53","7","1","515","2603","1880","215","11","4","1","51","186534427"
"2022","3","A","골목상권","2110168","대원고등학교","360","2523","741","83","5","0","238","1933","806","244","131","0","0","52","178423597"
"2022","3","A","골목상권","2110169","성동초등학교","211","1586","999","437","516","78","118","905","657","188","115","143","1490","57","295308391"
"2022","3","A","골목상권","2110170","동대부여고","465","3746","1477","147","5","0","428","2123","1427","203","118","85","991","50","207666192"
"2022","3","A","골목상권","2110171","중곡4동주민센터","321","2291","400","29","6","0","206","1720","773","27","0","0","0","51","172186649"
"2022","3","A","골목상권","2110172","광진초등학교","371","2914","1259","180","37","9","167","1532","1407","163","146","79","905","56","230521076"
"2022","3","A","골목상권","2110173","구남초등학교","100","997","1097","255","332","73","95","572","246","52","144","207","1438","64","335932520"
"2022","3","A","골목상권","2110174","아차산역 1번","619","4140","1500","43","11","0","362","2794","2224","271","40","3","0","55","188996841"
"2022","3","A","골목상권","2110175","푸른동산공원","416","3372","1770","213","324","3","433","1897","1206","179","177","154","1636","51","222913612"
"2022","3","A","골목상권","2110176","해오름공원","557","3572","1097","50","15","0","401","2712","1447","167","4","3","0","53","174291318"
"2022","3","A","골목상권","2110177","동의초등학교","399","2431","1185","115","38","8","177","1704","1520","251","95","14","16","60","202672073"
"2022","3","A","골목상권","2110178","장로회신학대학교","75","423","378","62","198","246","31","189","257","63","23","53","691","90","447728401"
"2022","3","A","골목상권","2110179","광나루역 1번","81","627","1919","285","272","51","26","167","203","56","19","44","2639","85","546463293"
"2022","3","A","골목상권","2110180","광진정보도서관","86","307","1268","108","252","535","24","159","161","50","23","196","1857","104","621051983"
"2022","3","A","골목상권","2110181","신설동역 9번","68","2140","2377","450","36","0","617","450","267","309","606","410","2344","59","453260310"
"2022","3","A","골목상권","2110182","용두희망어린이공원","90","1028","353","302","27","107","323","517","225","72","251","221","208","61","220967965"
"2022","3","A","골목상권","2110183","한국의류시험연구원","58","983","264","107","37","16","189","364","461","48","53","124","168","59","243397798"
"2022","3","A","골목상권","2110184","용두사거리","61","1080","280","85","30","15","199","400","494","67","39","123","168","52","228214035"
"2022","3","A","골목상권","2110185","용두초등학교","41","732","512","1","0","0","79","176","154","296","540","0","0","49","202552400"
"2022","3","A","골목상권","2110186","종암초등학교","95","890","770","336","22","11","295","343","268","50","138","575","360","62","249242505"
"2022","3","A","골목상권","2110187","제기동역 6번","145","2657","1766","427","42","28","226","723","1002","400","732","454","1383","63","303371381"
"2022","3","A","골목상권","2110188","용두동신동아아파트","87","1289","2037","754","37","0","37","290","297","288","561","271","2373","66","415624560"
"2022","3","A","골목상권","2110189","제기동역 1번","160","1984","1593","384","42","28","250","863","894","162","244","1013","605","63","252655217"
"2022","3","A","골목상권","2110190","고대앞사거리","147","1364","830","268","3","4","357","628","244","68","298","580","294","55","183772841"
"2022","3","A","골목상권","2110191","고려대역 6번","135","1546","281","202","3","4","353","695","181","20","412","232","143","52","160227934"
"2022","3","A","골목상권","2110192","동의보감타워","37","950","815","262","1","0","35","232","288","85","166","365","857","68","398951612"
"2022","3","A","골목상권","2110193","고려대역 4번","103","1180","485","268","14","4","305","466","72","36","412","471","189","57","179925751"
"2022","3","A","골목상권","2110194","홍파초등학교","87","861","263","4","3","4","93","391","249","16","204","181","1","55","186497020"
"2022","3","A","골목상권","2110195","동대문구청","82","1411","526","328","0","0","95","416","427","121","263","251","692","51","262805186"
"2022","3","A","골목상권","2110196","홍릉근린공원","73","824","482","265","1","0","40","260","157","21","432","471","191","57","250529433"
"2022","3","A","골목상권","2110197","세종대왕기념관교차로","51","561","297","266","0","0","135","295","28","7","138","332","189","56","193716187"
"2022","3","A","골목상권","2110198","동대문중앙새마을금고본점","30","304","165","391","301","0","115","117","83","2","28","65","751","62","296395729"
"2022","3","A","골목상권","2110199","홍릉시장","88","772","257","736","302","90","143","329","244","23","100","149","1169","60","267766324"
"2022","3","A","골목상권","2110200","동대문경찰서","130","693","458","816","243","90","151","298","172","65","153","292","1169","64","297741787"
"2022","3","A","골목상권","2110201","전농119안전센터","52","1277","1594","561","8","2","24","162","113","87","300","235","2521","67","503591170"
"2022","3","A","골목상권","2110202","전농1동주민센터(전농시장)","45","1159","1717","658","8","2","44","60","77","89","131","395","2748","72","566072941"
"2022","3","A","골목상권","2110203","떡전교사거리","136","1274","522","725","241","90","338","510","173","40","345","380","1066","56","247905828"
"2022","3","A","골목상권","2110204","간데메공원","93","3725","4053","1121","96","2","262","581","381","161","604","499","6509","68","561111212"
"2022","3","A","골목상권","2110205","경희대삼거리","160","2092","1373","356","2","0","563","1086","162","84","817","707","404","57","237135421"
"2022","3","A","골목상권","2110206","텃골근린공원","105","1627","1536","559","1","3","112","364","269","109","11","186","2675","59","399112175"
"2022","3","A","골목상권","2110207","시립대앞사거리","165","1549","267","194","1","0","341","846","432","27","104","87","174","47","178485879"
"2022","3","A","골목상권","2110208","시조사삼거리","135","2032","1180","346","0","0","334","1187","218","22","764","630","403","52","205838828"
"2022","3","A","골목상권","2110209","답십리 장령당공원","42","1696","1559","339","88","0","245","516","256","105","237","74","2249","61","458250920"
"2022","3","A","골목상권","2110210","서울시립대","214","2296","840","144","1","0","446","1373","490","189","318","315","150","49","183213830"
"2022","3","A","골목상권","2110211","전곡마을마당공원","156","1444","831","309","1","1","206","674","425","70","231","188","792","50","233093508"
"2022","3","A","골목상권","2110212","답십리초등학교","67","2192","1105","249","24","0","519","446","74","108","389","662","1372","60","382873261"
"2022","3","A","골목상권","2110213","청량초등학교","80","1321","417","126","22","0","412","828","169","62","13","126","276","50","194837116"
"2022","3","A","골목상권","2110214","경희대후문","80","1017","568","274","83","10","296","622","122","81","41","302","488","56","236383542"
"2022","3","A","골목상권","2110215","회기역 1번","104","1596","470","116","22","0","491","884","160","143","65","185","276","47","195934561"
"2022","3","A","골목상권","2110216","전농중학교","57","662","1496","667","0","1","17","101","114","46","361","565","1622","70","416512563"
"2022","3","A","골목상권","2110217","자동차부품상가","68","1817","979","156","23","0","472","397","248","264","299","472","823","59","305706325"
"2022","3","A","골목상권","2110218","답십리사거리","87","2552","1827","434","2","0","257","332","165","348","891","1233","1589","65","383358041"
"2022","3","A","골목상권","2110219","삼육보건대학교","187","2102","864","222","1","0","559","1038","233","570","542","170","77","49","172722634"
"2022","3","A","골목상권","2110220","외대앞역 1번","131","2096","733","295","22","2","428","1012","283","107","343","532","443","48","225592253"
"2022","3","A","골목상권","2110221","의릉","119","1638","682","203","0","0","423","363","211","1","120","546","859","46","213292858"
"2022","3","A","골목상권","2110222","회기역 2번","74","1014","361","140","1","0","210","379","79","362","328","158","0","46","189108980"
"2022","3","A","골목상권","2110223","군자초등학교","103","1538","882","105","1","0","58","927","749","247","421","123","1","54","221545501"
"2022","3","A","골목상권","2110224","외대앞역 2번","113","1751","1113","390","22","0","72","311","236","477","777","570","833","51","284420413"
"2022","3","A","골목상권","2110225","촬영소사거리","125","2295","2015","531","5","0","54","516","1003","403","1056","1249","565","60","267265321"
"2022","3","A","골목상권","2110226","장안1동주민센터","318","4944","3026","726","22","1","765","1486","2779","1083","1602","817","187","56","227726765"
"2022","3","A","골목상권","2110227","답십리공원","145","1978","1391","594","5","0","145","618","704","603","975","847","76","58","246590756"
"2022","3","A","골목상권","2110228","장안근린공원","231","3271","2957","478","21","1","143","1073","1528","851","1433","1199","501","58","248246609"
"2022","3","A","골목상권","2110229","장평중학교","262","3976","3008","568","75","1","679","1179","2026","957","1158","990","639","57","246202058"
"2022","3","A","골목상권","2110230","장안현대홈타운1차아파트","191","3477","2391","928","137","2","663","731","1786","842","840","1341","732","58","256292525"
"2022","3","A","골목상권","2110231","장안교","84","1170","1143","523","0","1","39","531","437","344","915","461","110","59","253848877"
"2022","3","A","골목상권","2110232","동대부고","159","2366","2891","467","51","0","95","686","991","276","692","1460","1575","61","293850650"
"2022","3","A","골목상권","2110233","중랑역 1번","197","2142","452","6","1","0","433","1269","564","14","299","22","0","45","170351711"
"2022","3","A","골목상권","2110234","중랑역 4번","166","2107","462","5","0","0","535","1148","462","108","299","22","0","43","168119334"
"2022","3","A","골목상권","2110235","세화어린이공원","130","1368","199","4","2","0","94","969","409","101","0","0","0","46","169909457"
"2022","3","A","골목상권","2110236","신묵초등학교","316","3483","1411","417","65","4","337","2527","821","406","481","578","230","49","180958387"
"2022","3","A","골목상권","2110237","메가박스 상봉","181","2822","755","86","1","0","504","1493","863","499","283","22","0","49","172090948"
"2022","3","A","골목상권","2110238","배꽃어린이공원","133","1559","198","0","2","0","71","1106","561","20","1","0","0","46","175489088"
"2022","3","A","골목상권","2110239","중랑역 2번","101","1373","320","0","1","0","325","883","212","10","253","11","0","44","164226701"
"2022","3","A","골목상권","2110240","태릉시장 특화거리","179","2120","443","34","2","0","314","1423","450","276","136","0","0","47","169635112"
"2022","3","A","골목상권","2110241","먹골역 5번","398","3759","979","125","47","1","417","3130","746","185","51","382","0","50","164810296"
"2022","3","A","골목상권","2110242","면목5동주민센터","193","2656","885","49","3","0","236","1685","833","298","138","141","262","52","167848790"
"2022","3","A","골목상권","2110243","중랑노인종합복지관","270","3441","996","63","4","0","401","2274","1196","545","88","0","0","52","161846771"
"2022","3","A","골목상권","2110244","중화역 4번","218","2220","639","43","2","0","172","1589","772","230","141","0","0","49","176858367"
"2022","3","A","골목상권","2110245","KB국민은행 중화동지점","164","2424","1154","15","3","0","342","1253","320","875","806","0","0","49","181802769"
"2022","3","A","골목상권","2110246","월드순복음교회","236","2854","882","25","2","0","661","1820","522","197","541","22","0","46","163239415"
"2022","3","A","골목상권","2110247","먹골역 1번","414","3879","1385","656","23","17","528","3071","577","672","607","138","367","52","166736179"
"2022","3","A","골목상권","2110248","먹골파출소","179","2767","1584","669","21","16","323","1122","609","910","839","438","816","55","220122683"
"2022","3","A","골목상권","2110249","중화역 1번","373","3386","1384","70","3","0","359","2733","1132","477","142","0","0","52","168729132"
"2022","3","A","골목상권","2110250","화랑대역 7번","153","2788","1346","139","4","0","426","666","881","806","567","482","449","54","216244372"
"2022","3","A","골목상권","2110251","장안중학교","294","3711","1773","43","1","0","300","2143","946","1318","821","0","0","53","181453825"
"2022","3","A","골목상권","2110252","장안제일시장","309","3196","1185","33","2","0","465","2325","563","131","445","225","262","50","173581904"
"2022","3","A","골목상권","2110253","중곡초등학교","224","2440","934","144","3","1","204","1434","466","536","700","138","44","52","185112517"
